date,ALTM_hPa,temp,DEW_C,rh,wd,ws,nsec,lat,lon,altinmeters,nsec.licor,co2_ppm,h2o_ppm,ch4_ppb,ch4_ppm,latitude2,longitude2,stability_class,A,B,C,D,x_hat,y_hat,x_rel_dist,y_rel_dist,x_rel_dist2,y_rel_dist2,q,co2_rolling_average,ch4_ppb_ewm,q_rolling_avg,sigma_y,y1,y2,erf_diff,,
01/06/2024 00:00,1022,12,9,81,340,5,3926188800,52.42,0.57,10,3926188800,0,10302.45636,2031.592322,-1976.49062,52.237111,0.144343,4,21,0.75,6,0.54,[ 0.34202014 -0.93969262],[0.93969262 0.34202014],907.9150944,-364.3904837,324.6810863,-696.2808366,(-57284675.18712882+0j),502.6756862,2031.592322,1593.823071,44.77282231,-1.806593432,-9.703200623,0.010621558,978.3098912,768.2609005
01/06/2024 01:00,1022,11,8,82,330,5,3926192400,52.42,0.57,10,3926192400,-2.308766237,10355.81922,2033.343381,-1976.488869,52.237111,0.144343,4,21,0.75,6,0.54,[ 0.5       -0.8660254],[0.8660254 0.5      ],830.8460806,-516.5123751,198.8405526,-742.0830451,(-5342663248171449+0j),502.2559106,2031.861716,23596437129,41.2989888,-4.563131281,-13.12395567,1.09E-10,978.3098912,768.2609005
01/06/2024 02:00,1022,11,9,83,350,6,3926196000,52.42,0.57,10,3926196000,-3.395478146,10503.51232,2015.098049,-1976.507114,52.237111,0.144343,5,14,0.68,4,0.36,[ 0.17364818 -0.98480775],[0.98480775 0.17364818],957.3975675,-201.1967718,440.6563495,-629.3224872,(-321133.3227584487+0j),501.6385509,2029.28269,19966216034,31.26090222,1.103905873,-10.20585698,1.881513679,978.3098912,768.2609005
01/06/2024 03:00,1022.4,11,9,83,340,4,3926199600,52.42,0.57,10,3926199600,-2.889424392,10264.29798,2008.026529,-1976.514186,52.237111,0.144343,4,21,0.75,6,0.54,[ 0.34202014 -0.93969262],[0.93969262 0.34202014],907.9150944,-364.3904837,324.6810863,-696.2808366,(-45828286.00964008+0j),501.113201,2026.012511,16894490602,44.77282231,-1.806593432,-9.703200623,0.010621558,978.3098912,768.2609005
01/06/2024 04:00,1022.4,10,9,88,300,2,3926203200,52.42,0.57,10,3926203200,-0.176305129,10143.61601,2017.149148,-1976.505063,52.237111,0.144343,4,21,0.75,6,0.54,[ 0.8660254 -0.5      ],[0.5       0.8660254],461.2776249,-862.7358785,-198.8405526,-742.0830451,(-1887814004186166.5+0j),501.0811455,2024.648917,20255755531,24.13298376,-17.95342421,-32.60363879,1.00E-10,978.3098912,768.2609005
01/06/2024 05:00,1022.7,12,9,80,340,6,3926206800,52.42,0.57,10,3926206800,-0.691518238,10307.33648,2015.786748,-1976.506426,52.237111,0.144343,5,14,0.68,4,0.36,[ 0.34202014 -0.93969262],[0.93969262 0.34202014],907.9150944,-364.3904837,324.6810863,-696.2808366,(-4838357296.76257+0j),500.9554149,2023.285507,17139500213,29.78670506,-2.715516421,-14.58501961,0.000122874,978.3098912,768.2609005
01/06/2024 06:00,1023.4,13,9,75,350,9,3926210400,52.42,0.57,10,3926210400,-2.48646072,10548.25096,2016.878406,-1976.505334,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.17364818 -0.98480775],[0.98480775 0.17364818],957.3975675,-201.1967718,440.6563495,-629.3224872,(-1934089.4448223757+0j),500.5033312,2022.299799,14502654033,95.04077759,0.363097761,-3.356920104,1.392394775,978.3098912,768.2609005
01/06/2024 07:00,1023.7,14,9,74,350,8,3926214000,52.42,0.57,10,3926214000,-6.280617913,11157.29626,2019.444156,-1976.502768,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.17364818 -0.98480775],[0.98480775 0.17364818],957.3975675,-201.1967718,440.6563495,-629.3224872,(-1719188.3881287028+0j),499.3614006,2021.860469,12271476495,95.04077759,0.363097761,-3.356920104,1.392394775,978.3098912,768.2609005
01/06/2024 08:00,1024.1,14,9,72,350,8,3926217600,52.42,0.57,10,3926217600,-8.351983306,11383.15238,2076.189388,-1976.446023,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.17364818 -0.98480775],[0.98480775 0.17364818],957.3975675,-201.1967718,440.6563495,-629.3224872,(-1719139.0797295603+0j),497.8428582,2030.218764,10383557048,95.04077759,0.363097761,-3.356920104,1.392394775,978.3098912,768.2609005
01/06/2024 09:00,1024.4,14,9,74,350,7,3926221200,52.42,0.57,10,3926221200,-5.800628086,11038.92285,2212.616813,-1976.309596,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.17364818 -0.98480775],[0.98480775 0.17364818],957.3975675,-201.1967718,440.6563495,-629.3224872,(-1504142.965508858+0j),496.7881986,2058.280003,8786086760,95.04077759,0.363097761,-3.356920104,1.392394775,978.3098912,768.2609005
01/06/2024 10:00,1024.7,15,9,65,350,7,3926224800,52.42,0.57,10,3926224800,-4.110461422,11133.55552,2256.297487,-1976.265915,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.17364818 -0.98480775],[0.98480775 0.17364818],957.3975675,-201.1967718,440.6563495,-629.3224872,(-1504109.75397762+0j),496.0408419,2088.744231,7434381137,95.04077759,0.363097761,-3.356920104,1.392394775,978.3098912,768.2609005
01/06/2024 11:00,1025.1,15,9,68,340,6,3926228400,52.42,0.57,10,3926228400,-4.02506752,11246.82619,2148.76596,-1976.373447,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.34202014 -0.93969262],[0.93969262 0.34202014],907.9150944,-364.3904837,324.6810863,-696.2808366,(-8302226.014024589+0j),495.3090115,2097.978343,6290630304,90.57859069,-0.892995642,-4.796273314,0.206629955,978.3098912,768.2609005
01/06/2024 12:00,1025.1,15,9,66,340,6,3926232000,52.42,0.57,10,3926232000,-5.328889249,10704.61278,2173.650918,-1976.348562,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.34202014 -0.93969262],[0.93969262 0.34202014],907.9150944,-364.3904837,324.6810863,-696.2808366,(-8302121.583392071+0j),494.3401225,2109.620278,5322841154,90.57859069,-0.892995642,-4.796273314,0.206629955,978.3098912,768.2609005
01/06/2024 13:00,1025.1,15,9,70,330,6,3926235600,52.42,0.57,10,3926235600,-3.924534283,11168.53635,2209.854284,-1976.312358,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.5       -0.8660254],[0.8660254 0.5      ],830.8460806,-516.5123751,198.8405526,-742.0830451,(-1113526624.0680263+0j),493.6265708,2125.040894,4503962719,83.5784169,-2.254801116,-6.485000774,0.001428794,978.3098912,768.2609005
01/06/2024 14:00,1025.4,15,10,73,340,7,3926239200,52.42,0.57,10,3926239200,-5.650339,11210.82197,2168.722065,-1976.35349,52.237111,0.144343,2,61,0.91,12,1.1,[ 0.34202014 -0.93969262],[0.93969262 0.34202014],907.9150944,-364.3904837,324.6810863,-696.2808366,(-9685832.645420775+0j),492.5992365,2131.761074,3811045522,90.57859069,-0.892995642,-4.796273314,0.206629955,978.3098912,768.2609005
